"Compound_Name","mz","RT_minute","z","Column","HILIC_Mix","Concentration_uM","Ionization_Form","Liquid_Fraction","Compound_Type","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_Original","Compound_Name_Figure","Compound_Name_SQL","Date_Added","Priority"
"L-Methionine",150.058876,7.96,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C5H11NO2S",NA,NA,"cpd:C00073","L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid","ChEBI:16643","(2S)-2-amino-4-methylsulfanylbutanoic acid","FFEARJCKVFRZRR-BYPYZUCNSA-N","CSCCC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Methionine and derivatives","Methionine","Methionine","Methionine",160401,TRUE
"L-Alanine",90.055504,11.3,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C3H7NO2",NA,NA,"cpd:C00041","L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine","ChEBI:16977","(2S)-2-aminopropanoic acid","QNAYBMKLOCPYGJ-REOHCLBHSA-N","CC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alanine and derivatives","Alanine","Alanine","Alanine",160401,TRUE
"L-Arginine",175.119501,17.93,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C6H14N4O2",NA,NA,"cpd:C00062","L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg","ChEBI:16467","(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid","ODKSFYDXXFIFQN-BYPYZUCNSA-N","C(CC(C(=O)O)N)CN=C(N)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Arginine","Arginine","Arginine",160401,TRUE
"L-Asparagine",133.061318,11.86,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C4H8N2O3",NA,NA,"cpd:C00152","L-Asparagine; 2-Aminosuccinamic acid","ChEBI:17196","(2S)-2,4-diamino-4-oxobutanoic acid","DCXYFEDJOCDNAF-REOHCLBHSA-N","C(C(C(=O)O)N)C(=O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Asparagine and derivatives","Asparagine","Asparagine","Asparagine",160401,TRUE
"L-Aspartic acid",134.045334,12.86,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C4H7NO4",NA,NA,"cpd:C00049","L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp","ChEBI:17053","(2S)-2-aminobutanedioic acid","CKLJMWTZIZZHCS-REOHCLBHSA-N","C(C(C(=O)O)N)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Aspartic acid and derivatives","Aspartic acid","Aspartic acid","Aspartic acid",160401,TRUE
"L-Cysteine",122.027576,7,1,"HILIC",NA,NA,"[M+H]","Aq","Amino Acid","C3H7NO2S","C3H7NO2S",5862,"cpd:C00097","L-Cysteine; L-2-Amino-3-mercaptopropionic acid","ChEBI:17561","(2R)-2-amino-3-sulfanylpropanoic acid","XUJNEKJLAYXESH-REOHCLBHSA-N","C(C(C(=O)O)N)S","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Cysteine and derivatives","Cysteine","Cysteine","Cysteine",NA,TRUE
"L-Cystine",241.031677,13.1,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C6H12N2O4S2","C6H12N2O4S2",67678,"cpd:C00491","L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid","ChEBI:16283","(2R)-2-amino-3-[[(2R)-2-amino-2-carboxyethyl]disulfanyl]propanoic acid","LEVWYRKDKASIDU-IMJSIDKUSA-N","C(C(C(=O)O)N)SSCC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Cysteine and derivatives; level 8: L-cysteine-S-conjugates","Cystine","Cystine","Cystine",160401,TRUE
"L-Glutamic acid",148.060984,12.41,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C5H9NO4",NA,NA,"cpd:C00025","L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate","ChEBI:16015","(2S)-2-aminopentanedioic acid","WHUUTDBJXJRKMK-VKHMYHEASA-N","C(CC(=O)O)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives","Glutamic acid","Glutamic acid","Glutamic acid",160401,TRUE
"L-Glutamine",147.076968,11.7,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C5H10N2O3",NA,NA,"cpd:C00064","L-Glutamine; L-2-Aminoglutaramic acid","ChEBI:18050","(2S)-2,5-diamino-5-oxopentanoic acid","ZDXPYRJPNDTMRX-VKHMYHEASA-N","C(CC(=O)N)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Glutamine","Glutamine","Glutamine",160401,TRUE
"Glycine",76.039854,11.51,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid","C2H5NO2","C2H5NO2",750,"cpd:C00037","Glycine; Aminoacetic acid; Gly","ChEBI:15428","2-aminoacetic acid","DHMQDGOQFOQNFH-UHFFFAOYSA-N","C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids","Glycine","Glycine","Glycine",160401,TRUE
