compound_name,best_adduct,polarity,rtmin,rtmax,mono_mass,mz,obs_mz,file_type
Trimethylamine,[M+H]+,pos,6.155400311,7.078822509,59.073499,60.080774999999996,60.080800292943884,Mix4
Propylamine,[M+H]+,pos,16.1429404,17.30936844,59.073499,60.080774999999996,60.08080554246479,Mix1
Urea,[M+H]+,pos,5.693672456,6.565446686,60.032363000000004,61.039639,61.03965831442162,Mix3
Ethanolamine,[M+H]+,pos,13.84198054,14.89813251,61.052763999999996,62.060039999999994,62.06006496340394,Mix4
Glycine,[M+H]+,pos,11.74766017,12.37727489,75.032029,76.039305,76.03930144691522,Mix3
Trimethylamine N-oxide,[M+H]+,pos,6.468582883,7.509868769,75.068414,76.07569000000001,76.0756486088709,Mix6
Oxalic acid,[M-H]-,neg,14.28574857,15.02921564,89.99531,88.988034,88.98805842497592,Mix4
beta-Alanine,[M+H]+,pos,11.45706876,11.94138777,89.047679,90.054955,90.05490730553512,Mix1
L-Alanine,[M-H]-,both,10.69694133,11.46500972,89.047679,88.040403,88.04042371429267,Mix3
Sarcosine,[M+H]+,both,10.10097551,10.63372643,89.047679,90.054955,90.0549020451151,Mix2
Methylphosphonic acid,[M-H]-,both,10.67802341,11.96606629,95.99763300000001,94.990357,94.99034114414529,Mix4
Succinic semialdehyde,[M-H]-,neg,4.240366417,6.952607923,102.031695,101.024419,101.02430143700724,Mix5
4-Aminobutyric acid,[M+H]+,both,11.53764898,11.9937146,103.063329,104.070605,104.07051095564728,Mix6
Dimethylglycine,[M+H]+,both,7.91312745,8.705241426,103.063329,104.070605,104.07044015177944,Mix3
Choline,[M]+,pos,15.93701966,17.1478172,104.10699042,104.10699042,104.10681739587986,Mix3
L-Serine,[M-H]-,both,11.33262058,12.55024182,105.04259400000001,104.035318,104.03535410402537,Mix3
Ethanesulfonic acid,[M-H]-,neg,3.489767312,4.495973456,110.00376700000001,108.996491,108.99647809432714,Mix2
Cytosine,[M+H]+,both,6.688951305,7.649089457,111.043262,112.050538,112.0503686839338,Mix2
Uracil,[M-H]-,both,3.688317261,4.552394201,112.027278,111.02000199999999,111.02002159081552,Mix2
Creatinine,[M+H]+,both,4.768674999,5.96884769,113.058912,114.06618800000001,114.06603862055148,Mix4
Fumaric acid,[M-H]-,neg,13.10303467,13.92633184,116.01096,115.00368399999999,115.00371857204262,Mix4
Acetylglycine,[M-H]-,both,5.569403505,6.852114383,117.04259400000001,116.035318,116.03535590276816,Mix6
L-Proline,[M+H]+,both,8.897269056,9.713386486,115.063329,116.070605,116.07050141248098,Mix3
Succinic acid,[M-H]-,neg,12.5451059,12.92914009,118.02661,117.019334,117.01937371020219,Mix4
Homocysteine thiolactone,[M+H]+,pos,2.372011377,2.92084514,117.024836,118.032112,118.0320408218889,Mix5
Glycine betaine,[M+H]+,both,7.193023835,7.985137811,117.078979,118.08625500000001,118.08602869184385,Mix6
L-Valine,[M-H]-,both,7.960213319,8.992242422,117.078979,116.071703,116.07174497359689,Mix3
