compound_name,formula,polarity,best_adduct,rtmin,rtmax
Trimethylamine,C3H9N,pos,[M+H]+,6.155400311,7.078822509
Propylamine,C3H9N,pos,[M+H]+,16.1429404,17.30936844
Urea,CH4N2O,pos,[M+H]+,5.693672456,6.565446686
Ethanolamine,C2H7NO,pos,[M+H]+,13.84198054,14.89813251
Glycine,C2H5NO2,pos,[M+H]+,11.74766017,12.37727489
Trimethylamine N-oxide,C3H9NO,pos,[M+H]+,6.468582883,7.509868769
Oxalic acid,C2H2O4,neg,[M-H]-,14.28574857,15.02921564
beta-Alanine,C3H7NO2,pos,[M+H]+,11.45706876,11.94138777
L-Alanine,C3H7NO2,both,[M-H]-,10.69694133,11.46500972
Sarcosine,C3H7NO2,both,[M+H]+,10.10097551,10.63372643
Methylphosphonic acid,CH5O3P,both,[M-H]-,10.67802341,11.96606629
Succinic semialdehyde,C4H6O3,neg,[M-H]-,4.240366417,6.952607923
4-Aminobutyric acid,C4H9NO2,both,[M+H]+,11.53764898,11.9937146
Dimethylglycine,C4H9NO2,both,[M+H]+,7.91312745,8.705241426
Choline,C5H14NO+,pos,[M]+,15.93701966,17.1478172
L-Serine,C3H7NO3,both,[M-H]-,11.33262058,12.55024182
Ethanesulfonic acid,C2H6O3S,neg,[M-H]-,3.489767312,4.495973456
Cytosine,C4H5N3O,both,[M+H]+,6.688951305,7.649089457
Uracil,C4H4N2O2,both,[M-H]-,3.688317261,4.552394201
Creatinine,C4H7N3O,both,[M+H]+,4.768674999,5.96884769
Fumaric acid,C4H4O4,neg,[M-H]-,13.10303467,13.92633184
Acetylglycine,C4H7NO3,both,[M-H]-,5.569403505,6.852114383
L-Proline,C5H9NO2,both,[M+H]+,8.897269056,9.713386486
Succinic acid,C4H6O4,neg,[M-H]-,12.5451059,12.92914009
Homocysteine thiolactone,C4H7NOS,pos,[M+H]+,2.372011377,2.92084514
Glycine betaine,C5H11NO2,both,[M+H]+,7.193023835,7.985137811
L-Valine,C5H11NO2,both,[M-H]-,7.960213319,8.992242422
L-Homoserine,C4H9NO3,both,[M+H]+,10.96063601,11.56067144
L-Threonine,C4H9NO3,both,[M+H]+,10.04858216,10.96063601
gamma-Amino-beta-hydroxybutyric acid,C4H9NO3,both,[M+H]+,11.56067144,12.30471537
Dimethylsulfonioacetate,C4H8O2S,pos,[M+H]+,8.37571977,9.111960759
Erythritol,C4H10O4,neg,[M-H]-,7.395741045,8.25724743
Phenylethylamine,C8H11N,pos,[M+H]+,6.323287177,7.606732572
1-Propanesulfonate,C3H7O3S-,neg,[M]-,2.424661878,3.116289904
Taurine,C2H7NO3S,both,[M-H]-,9.149430142,10.10476226
Picolinic acid,C6H5NO2,both,[M+H]+,9.665379578,14.03400817
Isethionic acid,C2H6O4S,neg,[M-H]-,6.028259919,7.287780397
Thymine,C5H6N2O2,both,[M-H]-,2.811063199,3.827803593
5-Methylcytosine,C5H7N3O,both,[M+H]+,5.224740622,6.616940943
Melamine,C3H6N6,pos,[M+H]+,6.544547429,7.624639616
5-Oxoproline,C5H7NO3,both,[M-H]-,5.990566839,7.262264971
Pipecolic acid,C6H11NO2,both,[M+H]+,8.502722753,9.229201278
Itaconic acid,C5H6O4,neg,[M-H]-,12.29419668,12.91770007
Propionylglycine,C5H9NO3,both,[M-H]-,3.223024769,4.748335923
Hydroxyproline,C5H9NO3,both,[M-H]-,10.84958054,11.7453982
Creatine,C4H9N3O2,both,[M+H]+,10.98295194,11.53489983
beta-Alaninebetaine,C6H13NO2,both,[M+H]+,9.42534504,10.02543139
L-Isoleucine,C6H13NO2,both,[M+H]+,6.928985843,7.481065281
L-Leucine,C6H13NO2,both,[M+H]+,6.400909859,7.000996204
Malic acid,C4H6O5,neg,[M-H]-,13.07315291,13.93722985
L-Asparagine,C4H8N2O3,both,[M+H]+,11.26926487,12.90087049
L-Ornithine,C5H12N2O2,pos,[M+H]+,16.48411359,18.37967013
L-Aspartic acid,C4H7NO4,both,[M-H]-,12.56065002,13.73149161
Adenine,C5H5N5,both,[M+H]+,4.408623192,5.704809698
Threonic acid,C4H8O5,neg,[M-H]-,9.038755824,10.25291854
Allopurinol,C5H4N4O,both,[M+H]+,4.164680433,5.035746229
Hypoxanthine,C5H4N4O,both,[M+H]+,5.955204569,7.189214446
Dimethylsulfoniopropionate,C5H10O2S,pos,[M+H]+,9.730089821,10.33538143
Salicylic acid,C7H6O3,neg,[M-H]-,1.89166441,2.545459219
Urocanic acid,C6H6N2O2,both,[M+H]+,7.312249886,8.272284159
3-Aminopropanesulfonate,C3H9NO3S,both,[M-H]-,11.2495655,12.13501292
Homarine,C7H7NO2,both,[M+H]+,5.128426561,6.472541283
Trigonelline,C7H7NO2,both,[M+H]+,7.792653957,8.488713366
Sulfoacetic acid,C2H4O5S,neg,[M-H]-,14.42635002,15.1696473
N-Methyltaurine,C3H9NO3S,both,[M-H]-,7.101943389,8.103897045
Toxopyrimidine,C6H9N3O,both,[M+H]+,2.992419416,4.120581746
2-mercaptoethanesulfonic acid,C2H6O3S2,neg,[M-H]-,2.79793008,3.811790739
Ectoine,C6H10N2O2,both,[M+H]+,9.350281032,10.12519146
Butyrylglycine,C6H11NO3,both,[M-H]-,2.44548801,3.412841625
Proline betaine,C7H13NO2,both,[M+H]+,6.250108966,7.363948188
2-Ketoglutaric acid,C5H6O5,neg,[M-H]-,12.54015083,13.2165334
Hydroxyisoleucine,C6H13NO3,both,[M+H]+,8.13948349,9.786168148
(3-Carboxypropyl)trimethylammonium,C7H15NO2,pos,[M+H]+,9.754189366,10.47376154
Acetylcholine,C7H16NO2+,pos,[M]+,12.1,13.3
2-keto-4-methylthiobutyric acid,C5H8O3S,neg,[M-H]-,2.071633225,2.58565018
L-Glutamine,C5H10N2O3,both,[M+H]+,10.64063579,11.64917964
L-Lysine,C6H14N2O2,both,[M+H]+,17.8302554,19.26689281
beta-Glutamic acid,C5H9NO4,both,[M+H]+,11.11733175,12.06669836
L-Glutamic acid,C5H9NO4,both,[M+H]+,11.6035927,12.25194062
O-Acetyl-L-serine,C5H9NO4,both,[M+H]+,5.397976864,7.505107613
2-Hydroxy-4-(methylthio)butyric acid,C5H10O3S,neg,[M-H]-,2.29649615,2.951552728
Guanine,C5H5N5O,both,[M+H]+,8.100523202,9.050834304
