"Compound.Type","Column","Compound.Name","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Emperical.Formula","RT..min.","m.z","ionization_form","z","C0","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","CHEBI","KEGGNAME","ChEBI_Names"
"Phospholipid synthesis","RP","1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine","1,2,3-phosphocholine","1 2 3 phosphocholine","500 - >10000","1.497","15.6","50 - >10000","0.425","14.5","C42H82NO8P",14.1,760.585632,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,NA,NA
"Phospholipid synthesis","RP","1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine","1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine","1,2,3-phosphoethanolamine","1 2 3 phosphoethanolamine","500 - >10000","0.591","13.6","50 - >10000","0.431","13.2","C41H79NO8P",14.9,744.554331,"[M]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:75038",NA,NA
"PUA","RP","2,4-Decadienal","2,4 decadienal","2,4-Decadienal","Decadienal","500 - >10000","0.675","14.7","50 - >10000","0.589","16.3","C10H16O",9.855,153.12794,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,NA,NA
"PUA","RP","2,4-Octadienal","2,4 octadienal","2,4-Octadienal","Octadienal","500 - >10000","0.81","11","500 - >10000","dl","dl","C8H12O",7.23,125.09664,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,NA,NA
"Phytohormone","RP","N6-Dimethylallyladenine","2iP","2iP","2iP","nd","nd","nd","5 - >10000","0.587","13.3","C10H13N5",4.18,NA,NA,-1,"cpd:C04083","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17660","N6-(Delta2-Isopentenyl)-adenine; N6-(3-Methylbut-2-enyl)adenine; 6-(gamma,gamma-Dimethylallylamino)purine; N6-Dimethylallyladenine","ChEBI:17660"
"Phytohormone","RP","Indolebutyric acid","3 Indolebutyric Acid","3 Indolebutyric Acid","Indolebutyric acid","50 - >10000","1.289","3.4","5 - >10000","1.174","1.1","C12H13NO2",7.45,204.10191,"[M+H]",1,"cpd:C11284","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:33070","Indolebutyric acid; Indole-3-butyric acid; IBA","ChEBI:33070"
"Phytohormone","RP","3-Indolepropionic acid","3 Indolepropionic Acid","3 Indolepropionic Acid","Indolepropionic Acid","50 - >10000","1.028","2.7","5 - >10000","0.902","2.3","C11H11NO2",6.66,190.08626,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,NA,NA
"Lignin","RP","3,4-Dihydroxybenzoic acid","3,4-Dihydroxybenzoic acid","3,4-Dihydroxybenzoic acid","Dihydroxybenzoic acid","nd","nd","nd","250 - 50000","0.666","12.2","C7H5O4",2.55,153.018785,"[M]",-1,"cpd:C00230","CyanoAq","CyanoDCM",1.25,NA,160401,"ChEBI:36241","3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid","ChEBI:36062"
"Phytohormone","RP","3-Indoleacetonitrile","3-Indoleacetonitrile","3-Indoleacetonitrile","Indoleacetonitrile",NA,"0.919","22.7",NA,"0.885","3.3","C10H8N2",7.09,157.076573,"[M+H]",1,"cpd:C02938","CyanoAq","CyanoDCM",0.75,NA,160401,"ChEBI:17566","3-Indoleacetonitrile; Indol-3-ylacetonitrile; Indole-3-acetonitrile; (Indol-3-yl)acetonitrile","ChEBI:17566"
"Quorum sensing","RP","N-(3-Oxodecanoyl)homoserine lactone","3OC10-HSL","3OC10-HSL","3OC10 HSL","5 - >10000","0.238","3.3","<0.5 - >10000","0.234","4.5","C14H23NO4",8.255,270.170534,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,NA,NA
"Quorum sensing","RP","N-(3-Oxododecanoyl)homoserine lactone","3OC12-HSL","3O12-HSL","3O12 HSL","5 - >10000","0.175","6.2","<0.5 - >10000","0.253","6","C16H27NO4",9.75,298.201834,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,NA,NA
"Quorum sensing","RP","N-(3-Oxohexanoyl)homoserine lactone","3OC6-HSL","3OC6-HSL","3OC6 HSL","5000 - >10000","0.13","8.5","<0.5 - >10000","0.054","8.8","C10H15NO4",1.96,214.107934,"[M+H]",1,"cpd:C11839","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:29640","N-(3-Oxohexanoyl)homoserine lactone","ChEBI:29640"
"Quorum sensing","RP","N-(3-Oxooctanoyl)homoserine lactone","3OC8-HSL","3OC8-HSL","3OC8 HSL",NA,"0.244","7.3",NA,"0.185","1","C12H19NO4",5.28,242.139234,"[M+H]",1,"cpd:C11841","CyanoAq","CyanoDCM",0.25,NA,160401,NA,"N-(3-Oxooctanoyl)homoserine lactone; N-(3-Oxooctanoyl)-L-homoserine lactone; OOHL",NA
"Quorum sensing","RP","3OHC12-HSL","3OHC12-HSL","3OHC12-HSL","OHC HSL","5 - >10000","0.482","2.1","<0.5 - >10000","0.514","3.6","C16H29NO4",9.275,300.217484,"[M+H]",1,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,NA,NA
"Lignin","RP","4-hydroxybenzaldehyde","4-hydroxybenzaldehyde","4-hydroxybenzaldehyde","hydroxybenzaldehyde","nd","nd","nd","500 - >10000","0.531","7.6","C7H6O2",3.775,NA,NA,-1,"cpd:C00633","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17597","4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde","ChEBI:17597"
"Sterol","RP","7-Dehydrocholesterol","7-dehydrocholesterol","7-DHC","DHC","50 - 5000","1.065","11.7","<0.5 - 5000","0.814","4.5","C27H44O",13.89,367.336475,"[M-OH]",1,"cpd:C01164","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:17759","7-Dehydrocholesterol; Provitamin D3; Cholesta-5,7-dien-3beta-ol","ChEBI:17759"
"Phytohormone","RP","Abscisic acid","Abscisic Acid","Abscisic acid","Abscisic acid","5 - >10000","1","4.3","50 - >10000","0.828","1.8","C15H20O4",6.7,247.13342,"[M-OH]",1,"cpd:C06082","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:2365","Abscisate; Abscisic acid; (+)-Abscisic acid; ABA","ChEBI:2365"
"Lignin","RP","Acetosyringone","Acetosyringone","Acetosyringone","Acetosyringone","50 - >10000","1.044","12.1","500 - >10000","0.905","6.5","C10H12O4",5.765,197.081385,"[M+H]",1,"cpd:C10664","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:2404","Acetosyringone","ChEBI:2404"
"Lignin","RP","Acetovanillone","Acetovanillone","Acetovanillone","Acetovanillone","50 - >10000","1.03","12.2","50 - >10000","0.792","3.6","C9H10O3",5.38,167.07082,"[M+H]",1,"cpd:C11380","CyanoAq","CyanoDCM",0.25,NA,160401,"ChEBI:2781","Apocynin; Acetovanillone","ChEBI:2781"
