"","Compound_Name","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_SQL"
"1","(3-Carboxypropyl)trimethylammonium","4-Trimethylammoniobutanoate; Butyro-betaine; gamma-Butyrobetaine; Deoxycarnitine","CHEBI:1941",NA,NA,NA,NA,"TMAB"
"2","(R)-2,3-Dihydroxypropane-1-sulfonate","(R)-2,3-Dihydroxypropane-1-sulfonate","CHEBI:60997","(2R)-2,3-dihydroxypropane-1-sulfonic acid","YPFUJZAAZJXMIP-GSVOUGTGSA-N","C(C(CS(=O)(=O)O)O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids","DHPS"
"3","(S)-3-Hydroxybutyryl-CoA","(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA","ChEBI:15453","S-[2-[3-[[4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (3S)-3-hydroxybutanethioate","QHHKKMYHDBRONY-BEVJUKKNSA-N","CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs; level 6: 3-hydroxyacyl CoAs; level 7: (S)-3-hydroxyacyl CoAs","Hydroxybutyryl CoA"
"4","1,2-Diacylglyceryl-3-O-4'-(N,N,N-trimethyl)-homoserineÂ 16:0-16:0",NA,NA,NA,NA,NA,NA,"DGTS 16s0_16s0"
"6","1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",NA,NA,"[(2R)-3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","WTJKGGKOPKCXLL-VYOBOKEXSA-N","CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Phosphatidylcholines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Phosphatidylcholines","POPC"
"8","1-Propanesulfonate",NA,NA,"propane-1-sulfonate","KCXFHTAICRTXLI-UHFFFAOYSA-M","CCCS(=O)(=O)[O-]","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Organic sulfonic acids and derivatives; subclass: Organosulfonic acids and derivatives; level 5: Organosulfonic acids","Propanesulfonate"
"9","1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",NA,"CHEBI:75038","2-aminoethyl [(2S)-3-octadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] phosphate","JQKOHRZNEOQNJE-VYCVAHKRSA-M","CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCN)OC(=O)CCCCCCCC=CCCCCCCCC","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphoethanolamines; level 5: Phosphatidylethanolamines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphoethanolamines; level 5: Phosphatidylethanolamines","SOPE"
"11","2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid","2-(3,5-Dichlorophenylcarbamoyl)-1,2-dimethylcyclopropane-1-carboxylic acid","ChEBI:79751","2-[(3,5-dichlorophenyl)carbamoyl]-1,2-dimethylcyclopropane-1-carboxylic acid","KIHJEJVWUXTXPZ-UHFFFAOYSA-N","CC1(CC1(C)C(=O)O)C(=O)NC2=CC(=CC(=C2)Cl)Cl","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Anilides","Cinnamoyl HSL"
"12","2,3-Pyridinedicarboxylic acid","Quinolinate; Pyridine-2,3-dicarboxylate; Quinolinic acid; 2,3-Pyridinedicarboxylic acid","ChEBI:16675","pyridine-2,3-dicarboxylic acid","GJAWHXHKYYXBSV-UHFFFAOYSA-N","C1=CC(=C(N=C1)C(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyridines and derivatives; subclass: Pyridinecarboxylic acids and derivatives; level 5: Pyridinecarboxylic acids","Pyridinedicarboxylic acid"
"13","2,4-Decadienal",NA,"CHEBI:149547","(2E,4E)-deca-2,4-dienal","JZQKTMZYLHNFPL-BLHCBFLLSA-N","CCCCCC=CC=CC=O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Aldehydes; level 6: Medium-chain aldehydes","Decadienal"
