"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Emperical.Formula","RT..min.","m.z","ionization_form","C0","CHEBI","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","KEGGNAME","Compound.Name_SQL","ChEBI_Names","CID","MolecularFormula","InChIKey","CanonicalSMILES","IUPACName","Classyfire"
"1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine","RP",1,"500 - >10000","1.497","15.6","50 - >10000","0.425","14.5","Phospholipid synthesis","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine","1,2,3-phosphocholine","C42H82NO8P",14.1,760.585632,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"1 2 3 phosphocholine",NA,5497103,"C42H82NO8P","WTJKGGKOPKCXLL-VYOBOKEXSA-N","CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC","[(2R)-3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",NA
"1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine","RP",1,"500 - >10000","0.591","13.6","50 - >10000","0.431","13.2","Phospholipid synthesis","1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine","1,2,3-phosphoethanolamine","C41H79NO8P",14.9,744.554331,"[M]",NA,"ChEBI:75038","CyanoAq","CyanoDCM",0.25,NA,160401,NA,"1 2 3 phosphoethanolamine",NA,23727969,"C41H79NO8P-","JQKOHRZNEOQNJE-VYCVAHKRSA-M","CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCN)OC(=O)CCCCCCCC=CCCCCCCCC","2-aminoethyl [(2S)-3-octadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] phosphate",NA
"2,4-Decadienal","RP",1,"500 - >10000","0.675","14.7","50 - >10000","0.589","16.3","PUA","2,4 decadienal","2,4-Decadienal","C10H16O",9.855,153.12794,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"Decadienal",NA,5283349,"C10H16O","JZQKTMZYLHNFPL-BLHCBFLLSA-N","CCCCCC=CC=CC=O","(2E,4E)-deca-2,4-dienal",NA
"2,4-Octadienal","RP",1,"500 - >10000","0.81","11","500 - >10000","dl","dl","PUA","2,4 octadienal","2,4-Octadienal","C8H12O",7.23,125.09664,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"Octadienal",NA,5283329,"C8H12O","DVVATNQISMINCX-YTXTXJHMSA-N","CCCC=CC=CC=O","(2E,4E)-octa-2,4-dienal",NA
"N6-Dimethylallyladenine","RP",-1,"nd","nd","nd","5 - >10000","0.587","13.3","Phytohormone","2iP","2iP","C10H13N5",4.18,NA,NA,"cpd:C04083","ChEBI:17660","CyanoAq","CyanoDCM",0.25,NA,160401,"N6-(Delta2-Isopentenyl)-adenine; N6-(3-Methylbut-2-enyl)adenine; 6-(gamma,gamma-Dimethylallylamino)purine; N6-Dimethylallyladenine","2iP","ChEBI:17660",NA,NA,NA,NA,NA,NA
"Indolebutyric acid","RP",1,"50 - >10000","1.289","3.4","5 - >10000","1.174","1.1","Phytohormone","3 Indolebutyric Acid","3 Indolebutyric Acid","C12H13NO2",7.45,204.10191,"[M+H]","cpd:C11284","ChEBI:33070","CyanoAq","CyanoDCM",0.25,NA,160401,"Indolebutyric acid; Indole-3-butyric acid; IBA","Indolebutyric acid","ChEBI:33070",NA,NA,NA,NA,NA,NA
"3-Indolepropionic acid","RP",1,"50 - >10000","1.028","2.7","5 - >10000","0.902","2.3","Phytohormone","3 Indolepropionic Acid","3 Indolepropionic Acid","C11H11NO2",6.66,190.08626,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"Indolepropionic Acid",NA,3744,"C11H11NO2","GOLXRNDWAUTYKT-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CCC(=O)O","3-(1H-indol-3-yl)propanoic acid",NA
"3,4-Dihydroxybenzoic acid","RP",-1,"nd","nd","nd","250 - 50000","0.666","12.2","Lignin","3,4-Dihydroxybenzoic acid","3,4-Dihydroxybenzoic acid","C7H5O4",2.55,153.018785,"[M]","cpd:C00230","ChEBI:36241","CyanoAq","CyanoDCM",1.25,NA,160401,"3,4-Dihydroxybenzoate; 3,4-Dihydroxybenzoic acid; Protocatechuate; Protocatechuic acid","Dihydroxybenzoic acid","ChEBI:36062",72,"C7H6O4","YQUVCSBJEUQKSH-UHFFFAOYSA-N","C1=CC(=C(C=C1C(=O)O)O)O","3,4-dihydroxybenzoic acid",NA
"3-Indoleacetonitrile","RP",1,NA,"0.919","22.7",NA,"0.885","3.3","Phytohormone","3-Indoleacetonitrile","3-Indoleacetonitrile","C10H8N2",7.09,157.076573,"[M+H]","cpd:C02938","ChEBI:17566","CyanoAq","CyanoDCM",0.75,NA,160401,"3-Indoleacetonitrile; Indol-3-ylacetonitrile; Indole-3-acetonitrile; (Indol-3-yl)acetonitrile","Indoleacetonitrile","ChEBI:17566",351795,"C10H8N2","DMCPFOBLJMLSNX-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CC#N","2-(1H-indol-3-yl)acetonitrile",NA
"N-(3-Oxodecanoyl)homoserine lactone","RP",1,"5 - >10000","0.238","3.3","<0.5 - >10000","0.234","4.5","Quorum sensing","3OC10-HSL","3OC10-HSL","C14H23NO4",8.255,270.170534,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"3OC10 HSL",NA,NA,NA,NA,NA,NA,NA
"N-(3-Oxododecanoyl)homoserine lactone","RP",1,"5 - >10000","0.175","6.2","<0.5 - >10000","0.253","6","Quorum sensing","3OC12-HSL","3O12-HSL","C16H27NO4",9.75,298.201834,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"3O12 HSL",NA,127864,"C16H27NO4","PHSRRHGYXQCRPU-UHFFFAOYSA-N","CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O","3-oxo-N-(2-oxooxolan-3-yl)dodecanamide",NA
"N-(3-Oxohexanoyl)homoserine lactone","RP",1,"5000 - >10000","0.13","8.5","<0.5 - >10000","0.054","8.8","Quorum sensing","3OC6-HSL","3OC6-HSL","C10H15NO4",1.96,214.107934,"[M+H]","cpd:C11839","ChEBI:29640","CyanoAq","CyanoDCM",0.25,NA,160401,"N-(3-Oxohexanoyl)homoserine lactone","3OC6 HSL","ChEBI:29640",119133,"C10H15NO4","YRYOXRMDHALAFL-UHFFFAOYSA-N","CCCC(=O)CC(=O)NC1CCOC1=O","3-oxo-N-(2-oxooxolan-3-yl)hexanamide",NA
"N-(3-Oxooctanoyl)homoserine lactone","RP",1,NA,"0.244","7.3",NA,"0.185","1","Quorum sensing","3OC8-HSL","3OC8-HSL","C12H19NO4",5.28,242.139234,"[M+H]","cpd:C11841",NA,"CyanoAq","CyanoDCM",0.25,NA,160401,"N-(3-Oxooctanoyl)homoserine lactone; N-(3-Oxooctanoyl)-L-homoserine lactone; OOHL","3OC8 HSL",NA,NA,NA,NA,NA,NA,NA
"3OHC12-HSL","RP",1,"5 - >10000","0.482","2.1","<0.5 - >10000","0.514","3.6","Quorum sensing","3OHC12-HSL","3OHC12-HSL","C16H29NO4",9.275,300.217484,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"OHC HSL",NA,NA,NA,NA,NA,NA,NA
"4-hydroxybenzaldehyde","RP",-1,"nd","nd","nd","500 - >10000","0.531","7.6","Lignin","4-hydroxybenzaldehyde","4-hydroxybenzaldehyde","C7H6O2",3.775,NA,NA,"cpd:C00633","ChEBI:17597","CyanoAq","CyanoDCM",0.25,NA,160401,"4-Hydroxybenzaldehyde; p-Hydroxybenzaldehyde","hydroxybenzaldehyde","ChEBI:17597",NA,NA,NA,NA,NA,NA
"7-Dehydrocholesterol","RP",1,"50 - 5000","1.065","11.7","<0.5 - 5000","0.814","4.5","Sterol","7-dehydrocholesterol","7-DHC","C27H44O",13.89,367.336475,"[M-OH]","cpd:C01164","ChEBI:17759","CyanoAq","CyanoDCM",0.25,NA,160401,"7-Dehydrocholesterol; Provitamin D3; Cholesta-5,7-dien-3beta-ol","DHC","ChEBI:17759",439423,"C27H44O","UCTLRSWJYQTBFZ-DDPQNLDTSA-N","CC(C)CCCC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C","(3S,9S,10R,13R,14R,17R)-10,13-dimethyl-17-[(2R)-6-methylheptan-2-yl]-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",NA
"Abscisic acid","RP",1,"5 - >10000","1","4.3","50 - >10000","0.828","1.8","Phytohormone","Abscisic Acid","Abscisic acid","C15H20O4",6.7,247.13342,"[M-OH]","cpd:C06082","ChEBI:2365","CyanoAq","CyanoDCM",0.25,NA,160401,"Abscisate; Abscisic acid; (+)-Abscisic acid; ABA","Abscisic acid","ChEBI:2365",5280896,"C15H20O4","JLIDBLDQVAYHNE-YKALOCIXSA-N","CC1=CC(=O)CC(C1(C=CC(=CC(=O)O)C)O)(C)C","(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid",NA
"Acetosyringone","RP",1,"50 - >10000","1.044","12.1","500 - >10000","0.905","6.5","Lignin","Acetosyringone","Acetosyringone","C10H12O4",5.765,197.081385,"[M+H]","cpd:C10664","ChEBI:2404","CyanoAq","CyanoDCM",0.25,NA,160401,"Acetosyringone","Acetosyringone","ChEBI:2404",17198,"C10H12O4","OJOBTAOGJIWAGB-UHFFFAOYSA-N","CC(=O)C1=CC(=C(C(=C1)OC)O)OC","1-(4-hydroxy-3,5-dimethoxyphenyl)ethanone",NA
"Acetovanillone","RP",1,"50 - >10000","1.03","12.2","50 - >10000","0.792","3.6","Lignin","Acetovanillone","Acetovanillone","C9H10O3",5.38,167.07082,"[M+H]","cpd:C11380","ChEBI:2781","CyanoAq","CyanoDCM",0.25,NA,160401,"Apocynin; Acetovanillone","Acetovanillone","ChEBI:2781",2214,"C9H10O3","DFYRUELUNQRZTB-UHFFFAOYSA-N","CC(=O)C1=CC(=C(C=C1)O)OC","1-(4-hydroxy-3-methoxyphenyl)ethanone",NA
"O-Acetylcarnitine","RP",1,NA,NA,NA,NA,NA,NA,"New2","Acetyl-L-carnitine","carnitine","C9H17NO4",0.82,204.123584,"[M+H]","cpd:C02571","ChEBI:57589","CyanoAq","CyanoDCM",0.25,NA,180130,"O-Acetylcarnitine; O-Acetyl-L-carnitine","carnitine","ChEBI:15960",439756,"C9H18NO4+","RDHQFKQIGNGIED-MRVPVSSYSA-O","CC(=O)OC(CC(=O)O)C[N+](C)(C)C","[(2R)-2-acetyloxy-3-carboxypropyl]-trimethylazanium","kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines"
"S-Adenosylhomocysteine","RP",1,"50 - >10000","0.245","35.9","May-00","0.118","2.2","Amino Acid synthesis","Adenosyl Homocysteine","SAH","C14H20N6O5S",0.96,385.129416,"[M+H]","cpd:C00021","ChEBI:16680","CyanoAq","CyanoDCM",0.25,NA,160401,"S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine","SAH","ChEBI:16680",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: 5-deoxyribonucleosides; subclass: 5-deoxy-5-thionucleosides; level 5: 5-deoxy-5-thionucleosides; level 6: 5-deoxy-5-thionucleosides; level 7: 5-deoxy-5-thionucleosides; level 8: 5-deoxy-5-thionucleosides"
"S-Adenosylmethionine","RP",1,"500 - >10000","0.064","7","50 - >10000","0.091","4.4","Amino Acid synthesis","Adenosyl Methionine","SAM","C15H22N6O5S",0.71,399.145066,"[M+H]","cpd:C00019","ChEBI:15414","CyanoAq","CyanoDCM",0.25,NA,160401,"S-Adenosyl-L-methionine; S-Adenosylmethionine; AdoMet; SAM","SAM","ChEBI:15414",34755,"C15H22N6O5S","MEFKEPWMEQBLKI-AIRLBKTGSA-N","C[S+](CCC(C(=O)[O-])N)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","(2S)-2-amino-4-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl-methylsulfonio]butanoate","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: 5-deoxyribonucleosides; subclass: 5-deoxy-5-thionucleosides; level 5: 5-deoxy-5-thionucleosides; level 6: 5-deoxy-5-thionucleosides; level 7: 5-deoxy-5-thionucleosides; level 8: 5-deoxy-5-thionucleosides"
