"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Compound.Name_SQL","Emperical.Formula","RT..min.","m.z","ionization_form","KEGG_Code","ChEBI_Code","Liquid.Fraction","Conc..uM","HILICMix","Date.added","Classyfire","Priority","KEGG_Names","PubChem_Code","PubChem_Formula","InChI_Key_Code","Canon_SMILES_Code","IUPAC_Code"
"L-Methionine","HILIC",1,"1000 - >10000","0.85","12","<10 - 1000","1.021","18.5","Amino Acid","Methionine","Methionine","Methionine","C5H11NO2S",7.96,150.058876,"[M+H]","cpd:C00073","ChEBI:16643","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Methionine and derivatives",TRUE,"L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid",NA,NA,"FFEARJCKVFRZRR-BYPYZUCNSA-N","CSCCC(C(=O)O)N","(2S)-2-amino-4-methylsulfanylbutanoic acid"
"L-Alanine","HILIC",1,"1000 - >10000","0.903","8.5","20 - >10000","0.814","9.8","Amino Acid","Alanine","Alanine","Alanine","C3H7NO2",11.3,90.055504,"[M+H]","cpd:C00041","ChEBI:16977","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alanine and derivatives",TRUE,"L-Alanine; L-2-Aminopropionic acid; L-alpha-Alanine",NA,NA,"QNAYBMKLOCPYGJ-REOHCLBHSA-N","CC(C(=O)O)N","(2S)-2-aminopropanoic acid"
"L-Arginine","HILIC",1,"<10 - >10000","0.849","16.8","<10 - >10000","0.933","11.6","Amino Acid","Arginine","Arginine","Arginine","C6H14N4O2",17.93,175.119501,"[M+H]","cpd:C00062","ChEBI:16467","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids",TRUE,"L-Arginine; (S)-2-Amino-5-guanidinovaleric acid; L-Arg",NA,NA,"ODKSFYDXXFIFQN-BYPYZUCNSA-N","C(CC(C(=O)O)N)CN=C(N)N","(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid"
"L-Asparagine","HILIC",1,"100 - >10000","0.824","16.1","20 - 1000","0.894","6.5","Amino Acid","Asparagine","Asparagine","Asparagine","C4H8N2O3",11.86,133.061318,"[M+H]","cpd:C00152","ChEBI:17196","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Asparagine and derivatives",TRUE,"L-Asparagine; 2-Aminosuccinamic acid",NA,NA,"DCXYFEDJOCDNAF-REOHCLBHSA-N","C(C(C(=O)O)N)C(=O)N","(2S)-2,4-diamino-4-oxobutanoic acid"
"L-Aspartic acid","HILIC",1,"100 - >10000","0.899","37.3","100 - >10000","0.818","11.6","Amino Acid","Aspartic acid","Aspartic acid","Aspartic acid","C4H7NO4",12.86,134.045334,"[M+H]","cpd:C00049","ChEBI:17053","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Aspartic acid and derivatives",TRUE,"L-Aspartate; L-Aspartic acid; 2-Aminosuccinic acid; L-Asp",NA,NA,"CKLJMWTZIZZHCS-REOHCLBHSA-N","C(C(C(=O)O)N)C(=O)O","(2S)-2-aminobutanedioic acid"
"L-Cysteine","HILIC",1,NA,NA,NA,NA,NA,NA,"Amino Acid","Cysteine","Cysteine","Cysteine","C3H7NO2S",7,122.027576,"[M+H]","cpd:C00097","ChEBI:17561","Aq",NA,NA,NA,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Cysteine and derivatives",TRUE,"L-Cysteine; L-2-Amino-3-mercaptopropionic acid",5862,"C3H7NO2S","XUJNEKJLAYXESH-REOHCLBHSA-N","C(C(C(=O)O)N)S","(2R)-2-amino-3-sulfanylpropanoic acid"
"L-Cystine","HILIC",1,"10000 - >10000","0.385","15.4","100 - >10000","0.261","15.1","Amino Acid","Cystine","Cystine","Cystine","C6H12N2O4S2",13.1,241.031677,"[M+H]","cpd:C00491","ChEBI:16283","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Cysteine and derivatives; level 8: L-cysteine-S-conjugates",TRUE,"L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid",67678,"C6H12N2O4S2","LEVWYRKDKASIDU-IMJSIDKUSA-N","C(C(C(=O)O)N)SSCC(C(=O)O)N","(2R)-2-amino-3-[[(2R)-2-amino-2-carboxyethyl]disulfanyl]propanoic acid"
"L-Glutamic acid","HILIC",1,"1000 - >10000","1.83","30.9","100 - >10000","0.938","14.4","Amino Acid","Glutamic acid","Glutamic acid","Glutamic acid","C5H9NO4",12.41,148.060984,"[M+H]","cpd:C00025","ChEBI:16015","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Glutamic acid and derivatives",TRUE,"L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate",NA,NA,"WHUUTDBJXJRKMK-VKHMYHEASA-N","C(CC(=O)O)C(C(=O)O)N","(2S)-2-aminopentanedioic acid"
"L-Glutamine","HILIC",1,"1000 - >10000","0.912","21.2","20 - >10000","0.793","6.4","Amino Acid","Glutamine","Glutamine","Glutamine","C5H10N2O3",11.7,147.076968,"[M+H]","cpd:C00064","ChEBI:18050","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids",TRUE,"L-Glutamine; L-2-Aminoglutaramic acid",NA,NA,"ZDXPYRJPNDTMRX-VKHMYHEASA-N","C(CC(=O)N)C(C(=O)O)N","(2S)-2,5-diamino-5-oxopentanoic acid"
"Glycine","HILIC",1,NA,NA,NA,NA,NA,NA,"Amino Acid","Glycine","Glycine","Glycine","C2H5NO2",11.51,76.039854,"[M+H]","cpd:C00037","ChEBI:15428","Aq",4,"Mix1",160401,"kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids",TRUE,"Glycine; Aminoacetic acid; Gly",750,"C2H5NO2","DHMQDGOQFOQNFH-UHFFFAOYSA-N","C(C(=O)O)N","2-aminoacetic acid"
